k,seed,run_scope,reference_seed,cluster_id_aligned_to_reference,local_slot,prototype_zscore,fit_eligible_n,all_assigned_n,profile_group,local_time
4,71,focused,42,2,1,-0.3840996166573248,523,540,1,00:00
4,71,focused,42,2,2,-0.787678740091331,523,540,1,00:30
4,71,focused,42,2,3,-0.8940703140978371,523,540,1,01:00
4,71,focused,42,2,4,-0.907892470682932,523,540,1,01:30
4,71,focused,42,2,5,-0.9017407240429643,523,540,1,02:00
4,71,focused,42,2,6,-0.9486069197594428,523,540,1,02:30
4,71,focused,42,2,7,-1.0705946440176115,523,540,1,03:00
4,71,focused,42,2,8,-1.2913536116198063,523,540,1,03:30
4,71,focused,42,2,9,-1.0198672970998772,523,540,1,04:00
4,71,focused,42,2,10,-0.880052053310535,523,540,1,04:30
4,71,focused,42,2,11,-0.8980886540008294,523,540,1,05:00
4,71,focused,42,2,12,-0.7254183365624189,523,540,1,05:30
4,71,focused,42,2,13,-0.1960967928135379,523,540,1,06:00
4,71,focused,42,2,14,0.872042338408213,523,540,1,06:30
4,71,focused,42,2,15,2.816896388709065,523,540,1,07:00
4,71,focused,42,2,16,1.4039894994481616,523,540,1,07:30
4,71,focused,42,2,17,0.5846739360060648,523,540,1,08:00
4,71,focused,42,2,18,0.1488371711308422,523,540,1,08:30
4,71,focused,42,2,19,-0.1363226027818722,523,540,1,09:00
4,71,focused,42,2,20,-0.3170608293142342,523,540,1,09:30
4,71,focused,42,2,21,0.130821317529575,523,540,1,10:00
4,71,focused,42,2,22,-0.0890771490676405,523,540,1,10:30
4,71,focused,42,2,23,-0.0739702185540195,523,540,1,11:00
4,71,focused,42,2,24,-0.0733351007007357,523,540,1,11:30
4,71,focused,42,2,25,-0.0731290625996216,523,540,1,12:00
4,71,focused,42,2,26,-0.0731290625996216,523,540,1,12:30
4,71,focused,42,2,27,-0.0731290625996216,523,540,1,13:00
4,71,focused,42,2,28,-0.0731290625996216,523,540,1,13:30
4,71,focused,42,2,29,-0.0731290625996216,523,540,1,14:00
4,71,focused,42,2,30,-0.0739273073743504,523,540,1,14:30
4,71,focused,42,2,31,-0.076354129887681,523,540,1,15:00
4,71,focused,42,2,32,-0.0379227753478068,523,540,1,15:30
4,71,focused,42,2,33,-0.2466438161158566,523,540,1,16:00
4,71,focused,42,2,34,-0.6211770870951752,523,540,1,16:30
4,71,focused,42,2,35,-0.2961726499098795,523,540,1,17:00
4,71,focused,42,2,36,-0.1195150572432108,523,540,1,17:30
4,71,focused,42,2,37,-0.1477924662273322,523,540,1,18:00
4,71,focused,42,2,38,-0.149601013191767,523,540,1,18:30
4,71,focused,42,2,39,-0.1694637344519184,523,540,1,19:00
4,71,focused,42,2,40,-0.0119525542329757,523,540,1,19:30
4,71,focused,42,2,41,0.3025344465512197,523,540,1,20:00
4,71,focused,42,2,42,0.7171255059931969,523,540,1,20:30
4,71,focused,42,2,43,1.540856269247413,523,540,1,21:00
4,71,focused,42,2,44,0.9321098754381706,523,540,1,21:30
4,71,focused,42,2,45,0.601577224560694,523,540,1,22:00
4,71,focused,42,2,46,0.3828828577029961,523,540,1,22:30
4,71,focused,42,2,47,0.0898891022772136,523,540,1,23:00
4,71,focused,42,2,48,-0.4020025540634843,523,540,1,23:30
4,71,focused,42,1,1,-0.8459936311902334,974,976,2,00:00
4,71,focused,42,1,2,-1.1266058959502747,974,976,2,00:30
4,71,focused,42,1,3,-1.2201038847258308,974,976,2,01:00
4,71,focused,42,1,4,-1.251300926977719,974,976,2,01:30
4,71,focused,42,1,5,-1.240612449076617,974,976,2,02:00
4,71,focused,42,1,6,-1.240368928103841,974,976,2,02:30
4,71,focused,42,1,7,-1.240179781875994,974,976,2,03:00
4,71,focused,42,1,8,-1.2404628447640174,974,976,2,03:30
4,71,focused,42,1,9,-1.2379518797079785,974,976,2,04:00
4,71,focused,42,1,10,-1.2529983007716774,974,976,2,04:30
4,71,focused,42,1,11,-1.3333502840475386,974,976,2,05:00
4,71,focused,42,1,12,-1.480056150466901,974,976,2,05:30
4,71,focused,42,1,13,-1.2926439932315246,974,976,2,06:00
4,71,focused,42,1,14,-1.281967321125853,974,976,2,06:30
4,71,focused,42,1,15,-1.2891175536687909,974,976,2,07:00
4,71,focused,42,1,16,-1.3013558389510549,974,976,2,07:30
4,71,focused,42,1,17,-1.215416531272619,974,976,2,08:00
4,71,focused,42,1,18,-0.9724510711269384,974,976,2,08:30
4,71,focused,42,1,19,-0.4959331755058008,974,976,2,09:00
4,71,focused,42,1,20,0.0612387662301268,974,976,2,09:30
4,71,focused,42,1,21,0.7477022206238395,974,976,2,10:00
4,71,focused,42,1,22,0.4750950319664568,974,976,2,10:30
4,71,focused,42,1,23,0.5130033010043844,974,976,2,11:00
4,71,focused,42,1,24,0.5204637455448885,974,976,2,11:30
4,71,focused,42,1,25,0.407660181701669,974,976,2,12:00
4,71,focused,42,1,26,0.5117012117720446,974,976,2,12:30
4,71,focused,42,1,27,0.5859747612022431,974,976,2,13:00
4,71,focused,42,1,28,1.1376975850538027,974,976,2,13:30
4,71,focused,42,1,29,0.6638313072140704,974,976,2,14:00
4,71,focused,42,1,30,0.4278810089880867,974,976,2,14:30
4,71,focused,42,1,31,0.2336155982952179,974,976,2,15:00
4,71,focused,42,1,32,-0.1343760339692226,974,976,2,15:30
4,71,focused,42,1,33,0.2263346497953042,974,976,2,16:00
4,71,focused,42,1,34,0.4339236731933737,974,976,2,16:30
4,71,focused,42,1,35,0.6736587688183641,974,976,2,17:00
4,71,focused,42,1,36,0.9478355434831034,974,976,2,17:30
4,71,focused,42,1,37,1.2988058407704488,974,976,2,18:00
4,71,focused,42,1,38,1.8699920368256813,974,976,2,18:30
4,71,focused,42,1,39,1.4154501145299296,974,976,2,19:00
4,71,focused,42,1,40,1.093078481445053,974,976,2,19:30
4,71,focused,42,1,41,0.8928220280170299,974,976,2,20:00
4,71,focused,42,1,42,0.8266737773256789,974,976,2,20:30
4,71,focused,42,1,43,0.9039658521390568,974,976,2,21:00
4,71,focused,42,1,44,0.9896967121457596,974,976,2,21:30
4,71,focused,42,1,45,0.5861111033612824,974,976,2,22:00
4,71,focused,42,1,46,0.2516041217706971,974,976,2,22:30
4,71,focused,42,1,47,-0.104818879095613,974,976,2,23:00
4,71,focused,42,1,48,-0.6921179560698478,974,976,2,23:30
4,71,focused,42,3,1,-0.3533593780384335,1167,1181,3,00:00
4,71,focused,42,3,2,-0.7296583041726186,1167,1181,3,00:30
4,71,focused,42,3,3,-0.8592433006402194,1167,1181,3,01:00
4,71,focused,42,3,4,-0.9039427821162114,1167,1181,3,01:30
