strategy,lead,common_rows_mean,common_rows_sample_std,common_rows_minimum,common_rows_maximum,mae_kwh_mean,mae_kwh_sample_std,mae_kwh_minimum,mae_kwh_maximum,rmse_kwh_mean,rmse_kwh_sample_std,rmse_kwh_minimum,rmse_kwh_maximum,smape_percent_mean,smape_percent_sample_std,smape_percent_minimum,smape_percent_maximum,bias_kwh_mean,bias_kwh_sample_std,bias_kwh_minimum,bias_kwh_maximum
cer_scratch_full,1,4672691.0,0.0,4672691.0,4672691.0,0.24947962508491547,0.008085253670699706,0.24139850479583388,0.25935720239985166,0.4693753368119205,0.001803442826792412,0.4673809455306537,0.47132519437142134,53.03741238258665,3.3701151472328026,48.81433858802112,56.59366004187667,0.02254555967276453,0.01202379369529587,0.012504204090303261,0.03838218878727471
cer_scratch_full,12,4672691.0,0.0,4672691.0,4672691.0,0.32944400307334726,0.006967729228372167,0.31928964060728576,0.3347494354125385,0.5784832312764873,0.0038062160004643216,0.5763704678714472,0.5841851453610754,65.83327709237298,1.58397231698707,63.579356964858796,67.29313699866678,0.01241649263113726,0.013438265691686251,-0.007220187722657072,0.021554250805520883
cer_scratch_full,48,4672691.0,0.0,4672691.0,4672691.0,0.3267681079452096,0.007608936673774652,0.31756290951640515,0.3360477201965831,0.5755862661020712,0.0025159607260710876,0.5719247507604338,0.5774777273797278,65.74067608209651,2.1342927941112886,63.68074427672266,68.47618926789733,0.00688295452773495,0.01310582810384002,-0.010576356515065237,0.021013062465376264
cer_scratch_limited,1,4672691.0,0.0,4672691.0,4672691.0,0.2701291433064169,0.011769258953133145,0.2554592677661905,0.2808480569004736,0.5145785058823862,0.008411655962710618,0.5087303691185696,0.5269156762427932,52.54851445055182,1.4111488070895883,51.065990762488674,54.020112371059376,0.0344992298526303,0.027891733348894887,-0.005708683927605121,0.0548248345405155
cer_scratch_limited,12,4672691.0,0.0,4672691.0,4672691.0,0.3471121302929087,0.010425443915732852,0.3390217300888214,0.36227788893280394,0.6424972896784238,0.008416036683548777,0.6303423976396801,0.6483376278175844,67.9324377027221,1.2610066961361015,67.06627285697725,69.78601154919072,-0.06233222337388914,0.02215471110468773,-0.07674277816138046,-0.029340141584200723
cer_scratch_limited,48,4672691.0,0.0,4672691.0,4672691.0,0.3350726437191993,0.007674173836966885,0.3248727935183359,0.3428069061717147,0.6323789840697946,0.0061041986474083335,0.6242244827850404,0.6388954010990812,66.19436061314154,1.7757810978600042,63.870942534118676,67.88418517615874,-0.07966402432568907,0.0096022526037584,-0.09061311832479226,-0.06804476925742768
direct_transfer,1,4672691.0,0.0,4672691.0,4672691.0,0.2546043867494169,0.006571124101311443,0.24870293700921256,0.26043072727622807,0.48484004709098344,0.0028205248950407906,0.482218685789336,0.48882546424948636,55.10138923464982,2.338853871164391,52.95124755412169,57.26642771950676,0.009906774739893081,0.018251780788741734,-0.013598990406034465,0.0273855088653956
direct_transfer,12,4672691.0,0.0,4672691.0,4672691.0,0.3304138954448697,0.006083409214183583,0.32424756371541824,0.33849292792887425,0.6030137272879852,0.0018489337631804569,0.6013477892975517,0.6046677089622235,67.0004303817741,1.4367898307099667,65.68760598120917,68.9709974714831,-0.02823745166655136,0.013426939011895726,-0.0408052712486358,-0.012656599199645315
direct_transfer,48,4672691.0,0.0,4672691.0,4672691.0,0.3230458240620651,0.004315146791726257,0.32012011699301685,0.32945704830054484,0.6037507066283428,0.005903522928672779,0.5999637133266583,0.6125568905626092,64.91637972328628,0.9510446211626298,64.270736938639,66.31739959793403,-0.042308193474544044,0.02043966077622522,-0.06985909843528558,-0.02052293654328511
fine_tuning,1,4672691.0,0.0,4672691.0,4672691.0,0.2646560032759659,0.006656754413134009,0.2549450587326548,0.26972399555321425,0.4862958060678131,0.001884790680898555,0.4842153691076303,0.488233887959271,57.65567221490788,2.0475366552235967,54.653695200341836,59.112025131393274,0.028322441092336822,0.011074761518617025,0.012037540155429323,0.03549447071476602
fine_tuning,12,4672691.0,0.0,4672691.0,4672691.0,0.3448230626844096,0.005861819463812755,0.337528144659195,0.35185950037243274,0.6044238204461949,0.0032664203897516354,0.6001584682676715,0.6072065981394537,70.3497858226116,1.3603415366620437,68.66974159881136,72.00139785146366,-0.0007367413907692717,0.007156102332110347,-0.007586752819731768,0.008780608223033537
fine_tuning,48,4672691.0,0.0,4672691.0,4672691.0,0.3420751893630207,0.008142397702639347,0.3344494657911495,0.35360798546526834,0.6046661098354131,0.003874982153765056,0.6002903004335824,0.609672677645241,69.39878588512927,1.9981196582860594,67.4727917096207,72.07205814739324,-0.004126965554461237,0.019389099449295653,-0.019526219862791246,0.02212001173249803
