lead,contrast,left_strategy,right_strategy,difference_definition,difference_mae_kwh_mean,difference_mae_kwh_sample_std,difference_mae_kwh_minimum,difference_mae_kwh_maximum,difference_rmse_kwh_mean,difference_rmse_kwh_sample_std,difference_rmse_kwh_minimum,difference_rmse_kwh_maximum,difference_smape_percent_mean,difference_smape_percent_sample_std,difference_smape_percent_minimum,difference_smape_percent_maximum,difference_bias_kwh_mean,difference_bias_kwh_sample_std,difference_bias_kwh_minimum,difference_bias_kwh_maximum
1,cer_scratch_full_minus_cer_scratch_limited,cer_scratch_full,cer_scratch_limited,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,-0.02064951822150144,0.01679985863137256,-0.03373060067831357,0.003897934633661171,-0.045203169070465704,0.007521620343914243,-0.05559048187137189,-0.038338611187815175,0.48889793203483656,3.783810077197738,-2.842285344425413,5.527669279387993,-0.01195367017986577,0.037939932844048584,-0.03922955825389423,0.04409087271487983
1,direct_transfer_minus_cer_scratch_full,direct_transfer,cer_scratch_full,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,0.005124761664501369,0.010903421610529507,-0.010227195468104217,0.01554924379145739,0.015464710279062932,0.002752965775424835,0.012532264598111853,0.018433706318731924,2.0639768520631634,3.756493846874168,-3.383876905463488,4.905242662131101,-0.01263878493287145,0.027166292400565503,-0.05198117919330918,0.008264423967731938
1,direct_transfer_minus_cer_scratch_limited,direct_transfer,cer_scratch_limited,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,-0.015524756557000072,0.006278596321731602,-0.020417329624245528,-0.006329260834443046,-0.029738458791402772,0.00967061143862204,-0.043058217273260035,-0.01990490486908325,2.552874784098,1.0813362892047684,1.2946236216751572,3.815096983294076,-0.024592455112737218,0.011308798449654357,-0.032075054011237336,-0.007890306478429344
1,fine_tuning_minus_direct_transfer,fine_tuning,direct_transfer,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,0.01005161652654904,0.007097103194988974,0.00550472395840057,0.020593988621466802,0.001455758976829688,0.0015276740278069988,-0.0005915762902153898,0.0030403927373337525,2.554282980258069,2.2763342367693173,0.8085651556987585,5.902241994980095,0.01841566635244374,0.020219353534884493,0.0069655877132533345,0.04869064921172307
12,cer_scratch_full_minus_cer_scratch_limited,cer_scratch_full,cer_scratch_limited,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,-0.0176681272195615,0.008797400890613004,-0.029262032301612173,-0.010496015877433706,-0.06401405840193652,0.008976068665802259,-0.07196715994613723,-0.05380415113189496,-2.099160610349122,2.0247433621186977,-4.079544186381817,0.0745717451869865,0.0747487160050264,0.019908285627161706,0.050894392389721606,0.09144651724062575
12,direct_transfer_minus_cer_scratch_full,direct_transfer,cer_scratch_full,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,0.0009698923715224794,0.008587902981677558,-0.006473515926954665,0.01188545766736776,0.02453049601149801,0.005122491900178974,0.017162643936476374,0.028189463522094615,1.167153289401126,1.8307630133919857,-0.5306140743809067,3.522399566856315,-0.040653944297688614,0.021027216833722287,-0.059532168072137494,-0.01428983122865064
12,direct_transfer_minus_cer_scratch_limited,direct_transfer,cer_scratch_limited,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,-0.01669823484803902,0.012863886134531136,-0.03453789707227112,-0.00675252336109794,-0.039483562390438515,0.007120471368183237,-0.04377769642404261,-0.028862918141056237,-0.9320073209479958,2.1887701450428168,-3.544650006501712,1.7524322180033067,0.03409477170733778,0.02991224532086623,-0.008637775682415888,0.057603385579039434
12,fine_tuning_minus_direct_transfer,fine_tuning,direct_transfer,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,0.014409167239539847,0.002136730168410329,0.013280580943776765,0.01761361630306002,0.0014100931582096965,0.001743097293093488,-0.0011893210298802304,0.002538889177230108,3.349355440837499,0.5408727686519103,2.9821356176021823,4.142792380721033,0.027500710275782086,0.006711098059441512,0.02143720742267885,0.03340057090286676
48,cer_scratch_full_minus_cer_scratch_limited,cer_scratch_full,cer_scratch_limited,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,-0.008304535773989652,0.01496332633293265,-0.025243996655309575,0.011174926678247155,-0.05679271796772334,0.008262932220092247,-0.06697065033864735,-0.04674675540531259,-0.4536845310450186,3.678930721237963,-4.203440899436075,4.60524673377865,0.08654697885342402,0.018865765571577424,0.06614437530912759,0.10429054036171981
48,direct_transfer_minus_cer_scratch_full,direct_transfer,cer_scratch_full,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,-0.003722283883144495,0.011266458921828516,-0.014993152650097152,0.011894138784139696,0.02816444052627165,0.005751792004451034,0.02248598594693052,0.03561692426483509,-0.8242963588102334,2.730179986757097,-3.7818557981971708,2.6366553212113644,-0.049191148002279,0.029797034865556654,-0.08002821268382433,-0.009946580028219873
48,direct_transfer_minus_cer_scratch_limited,direct_transfer,cer_scratch_limited,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,-0.012026819657134147,0.0056954062802598415,-0.016965605516393478,-0.003818225971849998,-0.02862827744145169,0.007189308224823167,-0.03746933323285584,-0.021502088962465415,-1.277980889855252,1.5269348586256375,-2.837226431824817,0.8233909355814788,0.03735583085114503,0.01543266444217635,0.020754019889506675,0.056197795280907716
48,fine_tuning_minus_direct_transfer,fine_tuning,direct_transfer,left minus right; negative means left has lower error for MAE/RMSE/SMAPE,0.01902936530095556,0.004634916275357347,0.012897902382936532,0.024150937164723496,0.0009154032070703144,0.0028693146782907864,-0.0028842129173681785,0.0034877359557289322,4.4824061618429845,1.147122986849193,3.0897428227487325,5.754658549459208,0.03818122792008281,0.012825184723879234,0.020182161919792586,0.050332878572494334
