domain,variable,display_name,analysis_role,family,outcome,n,category_n,reference_category,group_only_r2_in_sample,group_plus_survey_r2_in_sample,group_adjusted_partial_r2,permutation_p,permutation_exceedances,permutations,mean_cv_r2_group_only,mean_cv_r2_group_plus_survey,mean_incremental_cv_r2,median_incremental_cv_r2,incremental_cv_r2_p025,incremental_cv_r2_p975,positive_incremental_cv_repeat_share,rare_cell_flag,causal_interpretation_permitted,q_bh_within_outcome_main8,multiplicity_evidence_q_lt_0_05
household_composition,household_composition_common,Household composition,main,CER_MAIN_8,direct_over_limited_relative_mae_gain_pct,768,3,live_alone,0.06974326053759528,0.07103743038632326,0.0013911964233399863,0.5906704664766762,11813,20000,0.05919703308348887,0.05512271775457021,-0.004074315328918649,-0.0035947761968151415,-0.00813682137064051,-0.002061913492592272,0.0,False,False,0.6750519616876299,False
household_composition,household_composition_common,Household composition,main,CER_MAIN_8,direct_over_full_relative_rmse_gain_pct,768,3,live_alone,0.0015680335292275194,0.00710066643361007,0.005541321882891091,0.12659367031648416,2531,20000,-0.009815036236673801,-0.00904274474973541,0.0007722914869383923,0.0007927311245781166,-0.002113574389083489,0.002691418997493005,0.75,False,False,0.38366081695915205,False
daytime_presence,daytime_presence_category,Daytime household presence,main,CER_MAIN_8,direct_over_limited_relative_mae_gain_pct,596,3,none,0.071003514868335,0.07861396347780214,0.00819211776499726,0.09209539523023849,1841,20000,0.05824065613270896,0.058822516159597216,0.000581860026888259,0.0012924074890505732,-0.004851912581788196,0.004878991356448567,0.7,False,False,0.18539073046347682,False
daytime_presence,daytime_presence_category,Daytime household presence,main,CER_MAIN_8,direct_over_full_relative_rmse_gain_pct,596,3,none,0.0024670160541708785,0.003276713700733458,0.0008117001237991355,0.7918104094795261,15836,20000,-0.012050900456909996,-0.01833751813256094,-0.006286617675650941,-0.006114042232290506,-0.009555103221595102,-0.003433463521449199,0.0,False,False,0.7918104094795261,False
electric_thermal_end_use,electric_thermal_load,Electric thermal end use,main,CER_MAIN_8,direct_over_limited_relative_mae_gain_pct,768,2,0,0.06974326053759528,0.07857673305530655,0.009495736115619154,0.0073496325183740815,146,20000,0.05834891871779287,0.06494625791976374,0.006597339201970876,0.0069154151940895026,0.0038404100212324236,0.008314648614663245,1.0,False,False,0.05879706014699265,False
electric_thermal_end_use,electric_thermal_load,Electric thermal end use,main,CER_MAIN_8,direct_over_full_relative_rmse_gain_pct,768,2,0,0.0015680335292275194,0.0036270503700897017,0.0020622505188212944,0.20773961301934904,4154,20000,-0.009961896097596557,-0.010359349295107201,-0.0003974531975106443,-7.56128142314072e-05,-0.003191589428515729,0.001024557976994894,0.45,False,False,0.38366081695915205,False
dwelling_scale,dwelling_scale_main,Bedroom category,main,CER_MAIN_8,direct_over_limited_relative_mae_gain_pct,766,5,1,0.06894873562709314,0.07679761669566187,0.008430127715744222,0.1704914754262287,3409,20000,0.058469511251264115,0.055510461794215794,-0.0029590494570483237,-0.0024143065360424654,-0.008157780881461721,0.0015857800475172568,0.15,True,False,0.27278636068196593,False
dwelling_scale,dwelling_scale_main,Bedroom category,main,CER_MAIN_8,direct_over_full_relative_rmse_gain_pct,766,5,1,0.0016032414650771765,0.006455908741260674,0.004860459766820935,0.4287785610719464,8575,20000,-0.00968659162808625,-0.01957343401269408,-0.00988684238460783,-0.009409584475766009,-0.015609237602741027,-0.00401301857145926,0.0,True,False,0.4900326412250816,False
reported_thermal_features,double_glazing_category,Double-glazing proportion,main,CER_MAIN_8,direct_over_limited_relative_mae_gain_pct,768,5,none,0.06974326053759528,0.07646449995893712,0.007225144560872586,0.2343382830858457,4686,20000,0.058894771048085784,0.05633163965989195,-0.002563131388193829,-0.00215722321328371,-0.006822754296354811,0.0015645615214272188,0.15,True,False,0.31245104411446095,False
reported_thermal_features,double_glazing_category,Double-glazing proportion,main,CER_MAIN_8,direct_over_full_relative_rmse_gain_pct,768,5,none,0.0015680335292275194,0.006395756473922876,0.004835304864847455,0.41107944602769864,8221,20000,-0.008891712076570501,-0.027454199754822838,-0.01856248767825234,-0.018014486089452997,-0.02495418919645867,-0.015550357032095164,0.0,True,False,0.4900326412250816,False
reported_thermal_features,attic_insulation_category,Attic-insulation response,main,CER_MAIN_8,direct_over_limited_relative_mae_gain_pct,768,4,yes_within_5_years,0.06974326053759528,0.07134649719469,0.0017234346058284773,0.7284135793210339,14568,20000,0.05881794551387315,0.051776313229715966,-0.007041632284157179,-0.006876917722556164,-0.010969598435796077,-0.0041982372752216,0.0,True,False,0.7284135793210339,False
reported_thermal_features,attic_insulation_category,Attic-insulation response,main,CER_MAIN_8,direct_over_full_relative_rmse_gain_pct,768,4,yes_within_5_years,0.0015680335292275194,0.006977824673313204,0.005418287200086328,0.23978801059947003,4795,20000,-0.010240448614097763,-0.01041419630614383,-0.00017374769204606678,3.3746484110919184e-05,-0.003162871582667648,0.001908905374317376,0.55,True,False,0.38366081695915205,False
reported_thermal_features,wall_insulation_category,Wall-insulation response,main,CER_MAIN_8,direct_over_limited_relative_mae_gain_pct,768,3,yes,0.06974326053759528,0.07549935369577143,0.006187639297837974,0.09269536523173841,1853,20000,0.0598500429635096,0.06076039680862337,0.0009103538451137761,0.0009551659693475267,-0.0015122327330688856,0.0037284685730462107,0.7,False,False,0.18539073046347682,False
